Index,SegId,NVoxels,Volume_mm3,StructName,normMean,normStdDev,normMin,normMax,normRange
1,4,8005,8271.5,Left-Lateral-Ventricle,26.0727,11.8518,4.0000,70.0000,66.0000
2,5,156,181.3,Left-Inf-Lat-Vent,39.6538,12.7601,9.0000,70.0000,61.0000
3,7,14627,15380.2,Left-Cerebellum-White-Matter,83.3350,6.7605,21.0000,108.0000,87.0000
4,8,58491,58278.0,Left-Cerebellum-Cortex,57.8087,10.0832,10.0000,144.0000,134.0000
5,10,7873,7602.7,Left-Thalamus,81.1292,8.8045,41.0000,102.0000,61.0000
6,11,4428,4340.3,Left-Caudate,71.5043,7.8398,33.0000,98.0000,65.0000
7,12,5436,5315.7,Left-Putamen,78.1354,5.8421,50.0000,109.0000,59.0000
8,13,1873,1822.1,Left-Pallidum,92.1041,6.4135,49.0000,113.0000,64.0000
9,14,864,885.1,3rd-Ventricle,34.9525,13.7202,6.0000,69.0000,63.0000
10,15,3333,3455.4,4th-Ventricle,25.2187,9.7297,0.0000,64.0000,64.0000
11,16,19420,19395.3,Brain-Stem,81.9200,9.5762,26.0000,125.0000,99.0000
12,17,4000,3754.7,Left-Hippocampus,65.5380,8.6181,31.0000,97.0000,66.0000
13,18,1837,1760.2,Left-Amygdala,65.8171,7.0336,40.0000,88.0000,48.0000
14,24,1346,1354.7,CSF,44.0461,12.0171,10.0000,77.0000,67.0000
15,26,692,678.4,Left-Accumbens-area,68.2688,5.5471,47.0000,82.0000,35.0000
16,28,3743,3605.0,Left-VentralDC,87.1515,10.7462,44.0000,119.0000,75.0000
17,30,51,75.5,Left-vessel,59.9020,6.7000,47.0000,82.0000,35.0000
18,31,1175,1009.3,Left-choroid-plexus,49.9770,11.0172,19.0000,78.0000,59.0000
19,43,4312,4616.1,Right-Lateral-Ventricle,28.7008,12.6864,6.0000,78.0000,72.0000
20,44,276,322.6,Right-Inf-Lat-Vent,34.1957,12.2414,6.0000,65.0000,59.0000
21,46,14127,14740.5,Right-Cerebellum-White-Matter,83.2826,6.4572,34.0000,106.0000,72.0000
22,47,60277,60040.4,Right-Cerebellum-Cortex,60.2897,9.6583,19.0000,94.0000,75.0000
23,49,8075,7753.5,Right-Thalamus,81.1030,8.7638,44.0000,105.0000,61.0000
24,50,4562,4377.3,Right-Caudate,71.3731,8.2008,39.0000,98.0000,59.0000
25,51,5969,5716.3,Right-Putamen,77.8223,6.0815,58.0000,101.0000,43.0000
26,52,1749,1729.7,Right-Pallidum,93.6787,4.4070,77.0000,107.0000,30.0000
27,53,4844,4631.3,Right-Hippocampus,66.3101,8.3039,34.0000,96.0000,62.0000
28,54,2164,2116.3,Right-Amygdala,66.1913,7.2689,40.0000,90.0000,50.0000
29,58,888,826.0,Right-Accumbens-area,69.8266,6.5204,42.0000,91.0000,49.0000
30,60,3973,3765.1,Right-VentralDC,86.1890,11.1162,33.0000,117.0000,84.0000
31,62,76,84.9,Right-vessel,53.0658,12.3184,19.0000,71.0000,52.0000
32,63,1396,1201.1,Right-choroid-plexus,50.1175,12.1155,15.0000,82.0000,67.0000
33,72,0,0.0,5th-Ventricle,0.0000,0.0000,0.0000,0.0000,0.0000
34,77,693,588.9,WM-hypointensities,69.5945,12.6719,10.0000,99.0000,89.0000
35,78,0,0.0,Left-WM-hypointensities,0.0000,0.0000,0.0000,0.0000,0.0000
36,79,0,0.0,Right-WM-hypointensities,0.0000,0.0000,0.0000,0.0000,0.0000
37,80,10,8.9,non-WM-hypointensities,59.9000,8.1982,46.0000,71.0000,25.0000
38,81,0,0.0,Left-non-WM-hypointensities,0.0000,0.0000,0.0000,0.0000,0.0000
39,82,0,0.0,Right-non-WM-hypointensities,0.0000,0.0000,0.0000,0.0000,0.0000
40,85,161,157.8,Optic-Chiasm,79.1180,18.1691,38.0000,118.0000,80.0000
41,251,991,949.2,CC_Posterior,98.1675,10.5256,42.0000,116.0000,74.0000
42,252,581,515.3,CC_Mid_Posterior,90.9346,16.9954,23.0000,115.0000,92.0000
43,253,521,485.2,CC_Central,94.8733,14.8389,42.0000,116.0000,74.0000
44,254,631,567.8,CC_Mid_Anterior,96.2916,14.6871,30.0000,119.0000,89.0000
45,255,938,896.8,CC_Anterior,102.5256,14.6205,34.0000,145.0000,111.0000
